participant,trial,trigram,response,correct
hmao001,1,TKQ,TKQ,True
hmao001,2,WFQ,,False
hmao001,3,TFK,TFK,True
hmao001,4,LZK,LZK,True
hmao001,5,DQX,,False
hmao001,6,MXJ,,False
