thisRow.t,notes,trial,stim1,stim2,choice,reaction_time,
,,1,Buy 1 item at $10,Buy 2 items at $18,Buy 1 item at $10,2.423,
,,2,Walk 30 minutes to save $3,Pay full price for convenience,Pay full price for convenience,0.989,
